pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,nu,coef_length_scale,coef_nu,state_length_scale,state_nu
DiffReacAdv,sample,vanilla,RBF,test,10000,4000,,0.12627329859870057,0.05458156965456165,False,128,5,8192,,,14.720902375003789,3.158687583003484,10.0,1e-10,,,,,
DiffReacAdv,sample,vanilla,RBF,ood,10000,4000,,0.1583027788434724,0.07176952160695008,False,128,5,8192,,,14.720902375003789,3.1566929170003277,10.0,1e-10,,,,,
DiffReacAdv,sample,vanilla,Matern,test,10000,4000,,0.1880909668805952,0.10186585431711868,False,128,5,8192,,,14.267248875003133,3.2567362080008024,1.0,1e-10,2.5,,,,
DiffReacAdv,sample,vanilla,Matern,ood,10000,4000,,0.08274884838750483,0.04829640813867815,False,128,5,8192,,,14.267248875003133,3.2591850829994655,1.0,1e-10,2.5,,,,
DiffReacAdv,sample,product_gpr,Matern x Matern,test,10000,4000,,0.025529315061901297,0.015413488519961011,False,128,5,8192,,,15.761444916999608,3.541293416994449,,1e-10,,1.0,2.5,100.0,1.5
DiffReacAdv,sample,product_gpr,Matern x Matern,ood,10000,4000,,0.04570757484769271,0.0374382694447732,False,128,5,8192,,,15.761444916999608,3.5805335420009214,,1e-10,,1.0,2.5,100.0,1.5
DiffReacAdv,sample,product_gpr,RBF x RBF,test,10000,4000,,0.027738192663309676,0.025433954181741256,False,128,5,8192,,,15.359275291993981,3.4164572910012794,,1e-10,,1.0,,100.0,
DiffReacAdv,sample,product_gpr,RBF x RBF,ood,10000,4000,,0.0592457222739852,0.05130621639771593,False,128,5,8192,,,15.359275291993981,3.3238016670002253,,1e-10,,1.0,,100.0,
