pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,ood_filename,nu,coef_length_scale,coef_nu,state_length_scale,state_nu
Nonlinear_Klein_Gordon,sample,vanilla,RBF,test,6400,1600,,0.2858739605899385,0.12956204680156566,False,128,3,8192,,,5.844310207998205,0.7780337920012244,100.0,1e-10,,,,,,
Nonlinear_Klein_Gordon,sample,vanilla,RBF,ood,6400,800,,0.4523590769818089,0.20722019576144396,False,128,3,8192,,,5.844310207998205,0.383162625003024,100.0,1e-10,ood.h5,,,,,
Nonlinear_Klein_Gordon,sample,vanilla,Matern,test,6400,1600,,0.2858731332524026,0.12956198557815676,False,128,3,8192,,,13.033436457997595,2.545284375002666,1.0,1e-10,,3.5,,,,
Nonlinear_Klein_Gordon,sample,vanilla,Matern,ood,6400,800,,0.45235785053622857,0.207219566498548,False,128,3,8192,,,13.033436457997595,1.3175834159992519,1.0,1e-10,ood.h5,3.5,,,,
Nonlinear_Klein_Gordon,sample,product_gpr,Matern x Matern,test,6400,1600,,0.002088946609324176,0.001904280409290321,False,128,3,8192,,,13.75974000000133,2.605420875002892,,1e-10,,,1.0,2.5,1.0,3.5
Nonlinear_Klein_Gordon,sample,product_gpr,Matern x Matern,ood,6400,800,,0.06718063984022851,0.09125856340007285,False,128,3,8192,,,13.75974000000133,1.3189228330011247,,1e-10,ood.h5,,1.0,2.5,1.0,3.5
Nonlinear_Klein_Gordon,sample,product_gpr,RBF x RBF,test,6400,1600,,0.10221901628050993,0.06845541392098624,False,128,3,8192,,,6.194472125000175,0.8107459580023715,,1e-10,,,100.0,,100.0,
Nonlinear_Klein_Gordon,sample,product_gpr,RBF x RBF,ood,6400,800,,0.2757045042699765,0.27584546835070367,False,128,3,8192,,,6.194472125000175,0.4020855829985521,,1e-10,ood.h5,,100.0,,100.0,
