pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,ood_filename,nu,coef_length_scale,coef_nu,state_length_scale,state_nu
DiffReacAdv,sample,vanilla,RBF,test,6400,1600,,0.12002288108611531,0.04790491233014627,False,128,5,8192,,,5.917647124999348,0.7638744579999184,100.0,1e-10,,,,,,
DiffReacAdv,sample,vanilla,RBF,ood,6400,800,,0.20415530992387823,0.08375366777909617,False,128,5,8192,,,5.917647124999348,0.39376958399952855,100.0,1e-10,ood.h5,,,,,
DiffReacAdv,sample,vanilla,Matern,test,6400,1600,,0.12002151108274779,0.04790459749041698,False,128,5,8192,,,6.142118292002124,0.7895407500000147,10.0,1e-10,,2.5,,,,
DiffReacAdv,sample,vanilla,Matern,ood,6400,800,,0.20415479931130315,0.08375555669629428,False,128,5,8192,,,6.142118292002124,0.39463537499977974,10.0,1e-10,ood.h5,2.5,,,,
DiffReacAdv,sample,product_gpr,Matern x Matern,test,6400,1600,,0.007869837755930533,0.006557812951366844,False,128,5,8192,,,6.537811874997715,0.8801826670023729,,1e-10,,,10.0,2.5,10.0,2.5
DiffReacAdv,sample,product_gpr,Matern x Matern,ood,6400,800,,0.053273765397170374,0.04593930653016624,False,128,5,8192,,,6.537811874997715,0.43232591600099113,,1e-10,ood.h5,,10.0,2.5,10.0,2.5
DiffReacAdv,sample,product_gpr,RBF x RBF,test,6400,1600,,0.028711042212956794,0.014059447562741124,False,128,5,8192,,,6.264120167001238,0.8065230419997533,,1e-10,,,100.0,,100.0,
DiffReacAdv,sample,product_gpr,RBF x RBF,ood,6400,800,,0.104248117522963,0.06481338704967844,False,128,5,8192,,,6.264120167001238,0.40668758299943875,,1e-10,ood.h5,,100.0,,100.0,
