pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,nu,coef_length_scale,coef_nu,state_length_scale,state_nu
DiffReacAdv,sample,vanilla,RBF,test,6400,1600,,0.12002214903544305,0.04790467960930106,False,128,5,8192,,,5.825393167004222,0.7651376249996247,100.0,1e-10,,,,,
DiffReacAdv,sample,vanilla,RBF,ood,6400,800,,0.20415425992787248,0.08375682331343651,False,128,5,8192,,,5.825393167004222,0.3834636249957839,100.0,1e-10,,,,,
DiffReacAdv,sample,vanilla,Matern,test,6400,1600,,0.1200197929862092,0.04790571122091139,False,128,5,8192,,,5.833554707991425,0.7712290409981506,1.0,1e-10,2.5,,,,
DiffReacAdv,sample,vanilla,Matern,ood,6400,800,,0.20415446578467145,0.08375708238003265,False,128,5,8192,,,5.833554707991425,0.3867050830012886,1.0,1e-10,2.5,,,,
DiffReacAdv,sample,product_gpr,Matern x Matern,test,6400,1600,,0.007869837319434978,0.0065578138691150395,False,128,5,8192,,,6.381917834005435,0.8458196249994216,,1e-10,,10.0,2.5,10.0,2.5
DiffReacAdv,sample,product_gpr,Matern x Matern,ood,6400,800,,0.05327376803257367,0.04593930712916233,False,128,5,8192,,,6.381917834005435,0.42966958400211297,,1e-10,,10.0,2.5,10.0,2.5
DiffReacAdv,sample,product_gpr,RBF x RBF,test,6400,1600,,0.007793507975177591,0.005145446903239976,False,128,5,8192,,,6.146338042002753,0.795060292002745,,1e-10,,10.0,,10.0,
DiffReacAdv,sample,product_gpr,RBF x RBF,ood,6400,800,,0.0639580292136247,0.0550920939312499,False,128,5,8192,,,6.146338042002753,0.4046799999923678,,1e-10,,10.0,,10.0,
