pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,ood_filename,nu
Nonlinear_Klein_Gordon,parameter_set,vanilla,RBF,test,6400,1600,20,0.2858739605899385,0.12956204680156566,False,128,3,8192,3,163840,5.912579458003165,0.7772000419972755,100,1e-10,,
Nonlinear_Klein_Gordon,parameter_set,vanilla,RBF,ood,6400,800,20,0.4523590769818089,0.20722019576144396,False,128,3,8192,3,163840,5.912579458003165,0.3838807079991966,100,1e-10,ood.h5,
Nonlinear_Klein_Gordon,parameter_set,vanilla,Matern,test,6400,1600,20,0.285872818434546,0.1295629238746968,False,128,3,8192,3,163840,6.07744329200068,0.7842133749982168,1,1e-10,,2.5
Nonlinear_Klein_Gordon,parameter_set,vanilla,Matern,ood,6400,800,20,0.45235840615153344,0.20722064083175265,False,128,3,8192,3,163840,6.07744329200068,0.4150937909980712,1,1e-10,ood.h5,2.5
Nonlinear_Klein_Gordon,parameter_set,framework1,Matern,test,320,1600,20,0.002089064108179162,0.001904353687707007,False,128,3,8192,3,163840,0.5474059160005709,0.0630304160004016,1,1e-10,,2.5
Nonlinear_Klein_Gordon,parameter_set,framework1,Matern,ood,320,800,20,0.06718896494442878,0.09126905916262794,False,128,3,8192,3,163840,0.5474059160005709,0.034528749998571584,1,1e-10,ood.h5,2.5
Nonlinear_Klein_Gordon,parameter_set,framework1,RBF,test,320,1600,20,0.0036868677010653095,0.0024479719888777954,False,128,3,8192,3,163840,0.516231167002843,0.0605307920013729,1,1e-10,,
Nonlinear_Klein_Gordon,parameter_set,framework1,RBF,ood,320,800,20,0.11165817952344788,0.2432602002390968,False,128,3,8192,3,163840,0.516231167002843,0.03424625000116066,1,1e-10,ood.h5,
