pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,nu
Nonlinear_Klein_Gordon,parameter_set,vanilla,RBF,test,6400,1600,20,0.2858726626243342,0.12956311543139604,False,128,3,8192,3,163840,5.884991291000915,0.7438741660007508,0.1,1e-10,
Nonlinear_Klein_Gordon,parameter_set,vanilla,RBF,ood,6400,800,20,0.4523584968043043,0.20722105996500528,False,128,3,8192,3,163840,5.884991291000915,0.3775465830040048,0.1,1e-10,
Nonlinear_Klein_Gordon,parameter_set,vanilla,Matern,test,6400,1600,20,0.2858727156685405,0.12956307610722145,False,128,3,8192,3,163840,6.108806499993079,0.7924035410032957,0.1,1e-10,1.5
Nonlinear_Klein_Gordon,parameter_set,vanilla,Matern,ood,6400,800,20,0.4523584579144198,0.20722094833320573,False,128,3,8192,3,163840,6.108806499993079,0.39198045800003456,0.1,1e-10,1.5
Nonlinear_Klein_Gordon,parameter_set,framework1,Matern,test,320,1600,20,0.002089064108179162,0.001904353687707007,False,128,3,8192,3,163840,0.49320258300576825,0.07347466699866345,1.0,1e-10,2.5
Nonlinear_Klein_Gordon,parameter_set,framework1,Matern,ood,320,800,20,0.06718896494442878,0.09126905916262794,False,128,3,8192,3,163840,0.49320258300576825,0.03385837499808986,1.0,1e-10,2.5
Nonlinear_Klein_Gordon,parameter_set,framework1,RBF,test,320,1600,20,0.0036868677010653095,0.0024479719888777954,False,128,3,8192,3,163840,0.5007612080007675,0.0633319999978994,1.0,1e-10,
Nonlinear_Klein_Gordon,parameter_set,framework1,RBF,ood,320,800,20,0.11165817952344788,0.2432602002390968,False,128,3,8192,3,163840,0.5007612080007675,0.034140583004045766,1.0,1e-10,
