pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,nu
Conservation_law,parameter_set,vanilla,RBF,test,6400,1600,20,0.03718738195470804,0.031157752280389705,False,128,4,8192,4,163840,5.987928708003892,0.7669485000005807,0.1,1e-10,
Conservation_law,parameter_set,vanilla,RBF,ood,6400,800,20,0.0848136757539364,0.0663532879338487,False,128,4,8192,4,163840,5.987928708003892,0.392532834004669,0.1,1e-10,
Conservation_law,parameter_set,vanilla,Matern,test,6400,1600,20,0.03718737907803183,0.03115775567134877,False,128,4,8192,4,163840,6.175973958001123,0.7982587920050719,0.1,1e-10,1.5
Conservation_law,parameter_set,vanilla,Matern,ood,6400,800,20,0.08481368052039656,0.06635328674762336,False,128,4,8192,4,163840,6.175973958001123,0.4040286669987836,0.1,1e-10,1.5
Conservation_law,parameter_set,framework1,Matern,test,320,1600,20,0.00014470857465046104,0.00022098404576597816,False,128,4,8192,4,163840,0.49335958400479285,0.062403249998169485,1.0,1e-10,2.5
Conservation_law,parameter_set,framework1,Matern,ood,320,800,20,0.0077239313280155295,0.015430418739381417,False,128,4,8192,4,163840,0.49335958400479285,0.03460662499855971,1.0,1e-10,2.5
Conservation_law,parameter_set,framework1,RBF,test,320,1600,20,0.00015855619088787624,0.00023360167215749576,False,128,4,8192,4,163840,0.5115902500037919,0.06640233300277032,0.1,1e-10,
Conservation_law,parameter_set,framework1,RBF,ood,320,800,20,0.05473952873652015,0.06402457511191377,False,128,4,8192,4,163840,0.5115902500037919,0.03569745900313137,0.1,1e-10,
