pde,task_mode,method,kernel,split,n_train,n_eval,ics_per_param,mean_relative_error,std_relative_error,pca,x_model_dim,coef_model_dim,y_model_dim,fw1_x_model_dim,fw1_y_model_dim,train_time_seconds,predict_time_seconds,length_scale,alpha,ood_filename,nu
DiffReacAdv,parameter_set,vanilla,RBF,test,6400,1600,20,0.12002288108611531,0.04790491233014627,False,128,5,8192,5,163840,5.918243667001661,0.7694062919981661,100,1e-10,,
DiffReacAdv,parameter_set,vanilla,RBF,ood,6400,800,20,0.20415530992387823,0.08375366777909617,False,128,5,8192,5,163840,5.918243667001661,0.3961341659996833,100,1e-10,ood.h5,
DiffReacAdv,parameter_set,vanilla,Matern,test,6400,1600,20,0.1200214162618365,0.04790537160477773,False,128,5,8192,5,163840,12.954063541001233,2.5202064590012014,10,1e-10,,3.5
DiffReacAdv,parameter_set,vanilla,Matern,ood,6400,800,20,0.20415449522782475,0.08375783944444756,False,128,5,8192,5,163840,12.954063541001233,1.2581761660003394,10,1e-10,ood.h5,3.5
DiffReacAdv,parameter_set,framework1,Matern,test,320,1600,20,0.005957976879968796,0.005141157735854586,False,128,5,8192,5,163840,0.5036234159997548,0.06634195900187478,10,1e-10,,3.5
DiffReacAdv,parameter_set,framework1,Matern,ood,320,800,20,0.05181822973111666,0.04802383580195838,False,128,5,8192,5,163840,0.5036234159997548,0.03711391700198874,10,1e-10,ood.h5,3.5
DiffReacAdv,parameter_set,framework1,RBF,test,320,1600,20,0.0038448016712480998,0.00376855938451805,False,128,5,8192,5,163840,0.4909931670008518,0.06177354200190166,1,1e-10,,
DiffReacAdv,parameter_set,framework1,RBF,ood,320,800,20,0.03720424786895807,0.039407631172260336,False,128,5,8192,5,163840,0.4909931670008518,0.03527375000339816,1,1e-10,ood.h5,
